host,port,country,anonymity,https,last_checked,extraction_date,response_time,detected_ip
163.5.196.217,8081,Netherlands,anonymous,no,1 min ago,2024-08-21 13:01:54,0.33,163.5.196.217
74.208.245.106,8888,United States,anonymous,no,1 min ago,2024-08-21 13:01:54,0.35,74.208.245.106
162.223.90.130,80,United States,elite proxy,no,1 min ago,2024-08-21 13:01:54,0.35,162.223.90.130
68.178.203.69,8899,United States,anonymous,no,1 min ago,2024-08-21 13:01:54,0.51,68.178.203.69
20.24.43.214,80,Singapore,elite proxy,no,1 min ago,2024-08-21 13:01:54,0.56,20.24.43.214
15.204.161.192,18080,United States,elite proxy,yes,19 secs ago,2024-08-21 13:01:54,0.77,77.111.247.224
8.219.97.248,80,Singapore,anonymous,no,1 min ago,2024-08-21 13:01:54,0.80,8.219.64.236
117.54.114.97,80,Indonesia,anonymous,no,1 min ago,2024-08-21 13:01:54,0.90,117.54.114.50
219.65.73.81,80,India,anonymous,no,1 min ago,2024-08-21 13:01:54,0.93,136.232.78.138
190.103.177.131,80,Argentina,anonymous,no,1 min ago,2024-08-21 13:01:54,0.97,190.103.177.131
97.74.87.226,80,Singapore,anonymous,no,1 min ago,2024-08-21 13:01:54,1.05,97.74.87.226
35.185.196.38,3128,United States,anonymous,yes,10 mins ago,2024-08-21 13:01:54,1.15,"10.0.0.46, 34.105.93.214"
79.175.189.223,1080,Iran,elite proxy,yes,1 min ago,2024-08-21 13:01:54,1.16,79.175.189.223
37.27.198.141,80,Finland,elite proxy,no,1 min ago,2024-08-21 13:01:54,1.43,37.27.198.141
47.56.110.204,8989,Hong Kong,anonymous,no,1 min ago,2024-08-21 13:01:54,1.89,47.56.110.204
192.73.244.36,80,United States,elite proxy,no,1 min ago,2024-08-21 13:01:54,2.90,192.73.244.36
198.49.68.80,80,United States,elite proxy,no,20 mins ago,2024-08-21 13:01:54,3.54,198.49.68.79
189.240.60.168,9090,Mexico,elite proxy,yes,1 min ago,2024-08-21 13:01:54,3.55,189.240.60.168
189.240.60.163,9090,Mexico,elite proxy,yes,19 secs ago,2024-08-21 13:01:54,3.69,189.240.60.168
160.86.242.23,8080,Japan,elite proxy,no,10 mins ago,2024-08-21 13:01:54,4.16,160.86.242.23
47.74.152.29,8888,Singapore,anonymous,no,10 mins ago,2024-08-21 13:01:54,5.17,"httpbin.org, 47.74.152.29"
181.41.194.186,80,Netherlands,anonymous,no,1 min ago,2024-08-21 13:01:54,6.12,181.41.194.186
93.177.67.178,80,Germany,anonymous,no,1 min ago,2024-08-21 13:01:54,7.65,93.177.67.178
181.188.27.162,8080,Trinidad and Tobago,elite proxy,yes,1 min ago,2024-08-21 13:01:54,7.91,181.188.27.162
198.74.51.79,8888,United States,anonymous,no,10 mins ago,2024-08-21 13:01:54,8.67,198.74.51.79
47.90.205.231,33333,United States,anonymous,no,1 min ago,2024-08-21 13:01:54,10.08,47.90.205.231
164.163.185.199,80,Peru,elite proxy,no,20 mins ago,2024-08-21 13:01:54,12.33,164.163.185.202
47.251.43.115,33333,United States,anonymous,yes,1 min ago,2024-08-21 13:01:54,12.92,47.251.43.115
